date,open,high,low,close,volume,percentSP500,percentNASDAQ,percentVIX,percentTNX,percentFTSE,target
5/7/1991,380.08,380.91,377.31,377.32,153290000,-0.73,-0.13,-2.57,0.12,0.71,1
5/8/1991,377.33,379.26,376.21,378.51,157240000,0.32,0.01,1.83,-0.25,-0.67,1
5/9/1991,378.51,383.56,378.51,383.25,180460000,1.25,0.2,-3.43,-0.25,0.73,-1
5/10/1991,383.26,383.91,375.61,375.74,172730000,-1.96,1.08,2.15,1.25,-0.69,1
5/13/1991,375.74,377.02,374.62,376.76,129620000,0.27,-0.88,0.68,-0.62,-1.49,-1
5/14/1991,375.51,375.53,370.82,371.62,207890000,-1.36,0.1,1.93,0.87,-0.92,-1
5/15/1991,371.55,372.47,365.83,368.57,193110000,-0.82,-1.04,2.11,-0.12,-0.17,1
5/16/1991,368.57,372.51,368.57,372.19,154460000,0.98,-2.19,-6.2,-0.12,0.51,1
5/17/1991,372.19,373.01,369.44,372.39,174210000,0.05,0.77,-3.48,-0.49,-0.73,-1
5/20/1991,372.39,373.65,371.26,372.28,109510000,-0.03,-0.08,2.76,0.25,0.52,1
5/21/1991,372.28,376.66,372.28,375.35,176620000,0.82,-0.27,-6.02,-0.49,0.65,1
5/22/1991,375.35,376.5,374.4,376.19,159310000,0.22,0.73,0.56,0,-0.68,-1
5/23/1991,376.19,378.07,373.55,374.96,173080000,-0.33,0.76,-0.31,0.5,0.69,1
5/24/1991,374.97,378.08,374.97,377.49,124640000,0.67,0.47,-5.46,0,-0.47,1
5/28/1991,377.49,382.1,377.12,381.94,162350000,1.18,0.63,2.89,-0.37,0.35,1
5/29/1991,381.94,383.66,381.37,382.79,188450000,0.22,0.91,1.47,0,0.53,1
5/30/1991,382.79,388.17,382.5,386.96,234440000,1.09,0.38,0.75,-0.62,-0.07,1
5/31/1991,386.96,389.85,385.01,389.83,232040000,0.74,0.83,-0.56,0.5,0.33,-1
6/3/1991,389.81,389.81,386.97,388.06,173990000,-0.45,0.58,5.9,0.99,0.65,-1
6/4/1991,388.06,388.06,385.14,387.74,180450000,-0.08,0.2,-4.15,0,-0.39,-1
6/5/1991,387.74,388.23,384.45,385.09,186560000,-0.68,0.03,1.42,0.61,0.62,-1
6/6/1991,385.1,385.85,383.13,383.63,168260000,-0.38,-0.4,3.23,0.49,0.15,-1
6/7/1991,383.63,383.63,378.76,379.43,169570000,-1.09,-0.45,0.3,0.73,-0.75,-1
6/10/1991,379.43,379.75,377.95,378.57,127720000,-0.23,-0.87,2.89,0,0.22,1
6/11/1991,378.57,381.63,378.57,381.05,161610000,0.66,-0.54,-0.86,0,1.22,-1
6/12/1991,381.05,381.05,374.46,376.65,166140000,-1.15,0.16,2.31,0.84,-0.88,1
6/13/1991,376.65,377.9,376.08,377.63,145650000,0.26,-1.12,-4.12,-0.24,-0.22,1
6/14/1991,377.63,382.3,377.63,382.29,167950000,1.23,0.02,-5.94,-0.6,0.31,-1
6/17/1991,382.3,382.31,380.13,380.13,134230000,-0.57,0.8,-3,0.12,0.07,-1
6/18/1991,380.13,381.83,377.99,378.59,155200000,-0.41,-0.15,4.13,0.24,-0.32,-1
6/19/1991,378.57,378.57,374.36,375.09,156440000,-0.92,-0.55,8.05,0.12,-1.24,1
6/20/1991,375.09,376.29,373.87,375.42,163980000,0.09,-1.27,-3.96,-0.36,-0.19,1
6/21/1991,375.42,377.75,375.33,377.75,193310000,0.62,0.11,-1.43,0.24,0.31,-1
6/24/1991,377.74,377.74,370.73,370.94,137940000,-1.8,-0.01,10.72,0.12,-1.17,-1
6/25/1991,370.94,372.62,369.56,370.65,155710000,-0.08,-2.18,-2.35,0,0.12,1
6/26/1991,370.65,372.73,368.34,371.59,187170000,0.25,-0.41,0.73,0,-0.97,1
6/27/1991,371.59,374.4,371.59,374.4,163080000,0.76,-0.05,-0.61,-0.12,0.62,-1
6/28/1991,374.4,374.4,367.98,371.16,163770000,-0.87,0.67,9.4,-0.96,-1.54,1
7/1/1991,371.18,377.92,371.18,377.92,167480000,1.82,-0.07,-4.65,0.24,1.19,-1
7/2/1991,377.92,377.93,376.62,377.47,157290000,-0.12,1.13,-5.42,0.12,0.68,-1
7/3/1991,377.47,377.47,372.08,373.33,140580000,-1.1,-0.53,10.44,-0.12,-0.49,1
7/5/1991,373.34,375.51,372.17,374.08,69910000,0.2,-0.93,-5.75,0.97,0.58,1
7/8/1991,374.09,377.94,370.92,377.94,138330000,1.03,-0.06,10.57,0,-0.72,-1
7/9/1991,377.94,378.58,375.37,376.11,151820000,-0.48,1.15,-2.61,0.24,0.86,-1
7/10/1991,376.11,380.35,375.2,375.74,178290000,-0.1,0.86,-2.88,-0.12,0.82,1
7/11/1991,375.73,377.68,375.51,376.97,157930000,0.33,0.73,-9.38,-0.6,0.08,1
7/12/1991,376.97,381.41,375.79,380.25,174770000,0.87,0.25,5.18,-0.48,-0.52,1
7/15/1991,380.28,383,380.24,382.39,161750000,0.56,0.89,-2.79,0,0,-1
7/16/1991,382.39,382.94,380.8,381.54,182990000,-0.22,0.71,-1.63,0.12,2.38,-1
7/17/1991,381.5,382.86,381.13,381.18,195460000,-0.09,-0.52,0.17,0.36,0.16,1
7/18/1991,381.18,385.37,381.18,385.37,200930000,1.1,-0.04,-9.99,0.12,-0.53,-1
7/19/1991,385.38,385.83,383.65,384.22,190700000,-0.3,0.69,-1.71,-0.36,-0.23,-1
7/22/1991,384.21,384.55,381.84,382.88,149050000,-0.35,0.15,9.03,0,0.67,-1
7/23/1991,382.88,384.86,379.39,379.42,160190000,-0.9,-0.51,-1.89,0.36,1.15,-1
7/24/1991,379.42,380.46,378.29,378.64,158700000,-0.21,-1.08,-1.03,-0.84,-0.29,1
7/25/1991,378.64,381.13,378.15,380.96,145800000,0.61,-0.46,-4.08,-0.49,-0.03,-1
7/26/1991,380.96,381.76,379.81,380.93,127760000,-0.01,0.59,-1.84,0,0.38,1
7/29/1991,380.93,383.15,380.45,383.15,136000000,0.58,0.49,1.42,0,0.22,1
7/30/1991,383.15,386.92,383.15,386.69,169010000,0.92,0.13,-1.28,0.12,0.02,1
7/31/1991,386.69,387.81,386.19,387.81,166830000,0.29,1,-1.87,-0.12,-0.26,-1
8/1/1991,387.81,387.95,386.48,387.12,170610000,-0.18,0.76,1.91,0,0.11,1
8/2/1991,387.12,389.56,386.05,387.18,162270000,0.02,0.42,-1.36,-1.71,0.39,-1
8/5/1991,387.17,387.17,384.48,385.06,128050000,-0.55,0.3,4.33,-0.25,-0.63,1
8/6/1991,385.06,390.8,384.29,390.62,174460000,1.44,-0.61,-2.39,-0.87,-0.47,-1
8/7/1991,390.62,391.59,389.86,390.56,172220000,-0.02,0.52,0.13,-0.5,0.94,-1
8/8/1991,390.56,391.8,388.15,389.32,163890000,-0.32,0.45,2.7,0.63,0.12,-1
8/9/1991,389.32,389.89,387.04,387.12,143740000,-0.57,0.38,-3.32,0,-1.15,1
8/12/1991,387.11,388.17,385.9,388.02,145440000,0.23,-0.21,-1.23,-0.38,-0.05,1
8/13/1991,388.02,392.12,388.02,389.62,212760000,0.41,0.33,-3.47,-0.5,0.6,1
8/14/1991,389.62,391.85,389.13,389.9,124230000,0.07,0.86,2.44,-1.14,0.92,-1
8/15/1991,389.91,391.92,389.29,389.33,174690000,-0.15,0.64,0.66,0.26,0.32,-1
8/16/1991,389.33,390.41,383.16,385.58,189480000,-0.96,-0.39,5.4,0,0.15,-1
8/19/1991,385.58,385.58,374.09,376.47,230350000,-2.36,-0.62,32.35,-0.13,-3.07,1
8/20/1991,376.47,380.35,376.47,379.43,184260000,0.79,-2.89,-11,-0.26,0.55,1
8/21/1991,379.55,390.59,379.55,390.59,232690000,2.94,0.89,-17.18,-0.13,1.86,1
8/22/1991,390.59,391.98,390.21,391.33,173090000,0.19,3.17,-6.59,-0.26,0.81,1
8/23/1991,391.33,395.34,390.69,394.17,188870000,0.73,0.06,-1.23,1.29,0.67,-1
8/26/1991,394.17,394.39,392.75,393.85,130570000,-0.08,0.53,2.78,0.38,0,-1
8/27/1991,393.85,393.87,391.77,393.06,144670000,-0.2,0.06,4.39,-0.25,-0.79,1
8/28/1991,393.06,396.64,393.05,396.64,169890000,0.91,0.07,-0.97,-0.89,0.17,-1
8/29/1991,396.65,396.82,395.14,396.47,154150000,-0.04,0.87,-3.2,-1.02,0.53,-1
8/30/1991,396.47,396.47,393.6,395.43,143440000,-0.26,0.02,-2.43,1.03,0.28,-1
9/3/1991,395.43,397.62,392.1,392.15,153600000,-0.83,-0.13,14.59,-0.13,-0.4,-1
9/4/1991,392.15,392.62,388.68,389.97,157520000,-0.56,-0.91,3.68,0,-0.16,-1
9/5/1991,389.97,390.97,388.49,389.14,162380000,-0.21,-0.57,0.76,0.26,-0.05,-1
9/6/1991,389.14,390.71,387.36,389.1,166560000,-0.01,-0.19,-3.18,-0.89,0.15,-1
9/9/1991,389.11,389.34,387.88,388.57,115100000,-0.14,0,5.79,-0.39,-0.53,-1
9/10/1991,388.57,388.63,383.78,384.56,143390000,-1.03,0.22,2.76,0,-0.84,1
9/11/1991,384.56,385.6,383.59,385.09,148000000,0.14,-1.31,-1.43,0.13,-0.16,1
9/12/1991,385.09,387.34,385.09,387.34,160420000,0.58,0.68,-9.74,-0.9,0.58,-1
9/13/1991,387.16,387.95,382.85,383.59,169630000,-0.97,1.24,10.3,-0.13,-0.61,1
9/16/1991,383.59,385.79,382.77,385.78,172560000,0.57,-0.85,-0.34,-0.39,-0.75,-1
9/17/1991,385.78,387.13,384.97,385.5,168340000,-0.07,-0.2,-0.79,-0.13,-0.45,1
9/18/1991,385.49,386.94,384.28,386.94,141340000,0.37,-0.1,-0.68,0,-0.42,1
9/19/1991,386.94,389.42,386.27,387.56,211010000,0.16,0.66,0,-0.13,0.2,1
9/20/1991,387.56,388.82,386.49,387.92,254520000,0.09,0.79,-2.73,-0.53,0.45,-1
9/23/1991,387.9,388.55,385.76,385.92,145940000,-0.52,0.86,-4.1,-0.26,-0.8,1
9/24/1991,385.92,388.13,384.46,387.71,170350000,0.46,-0.47,-2.08,0.13,-0.11,-1
9/25/1991,387.72,388.25,385.99,386.88,153910000,-0.21,0.34,-2.24,0.26,0.82,-1
9/26/1991,386.87,388.39,385.3,386.49,158980000,-0.1,0.26,-2.1,-0.26,-0.08,-1
9/27/1991,386.49,389.09,384.87,385.9,160660000,-0.15,-0.17,6.25,-0.93,0.13,1
9/30/1991,385.91,388.29,384.32,387.86,146780000,0.51,-0.47,-2.82,-0.27,0.87,1
10/1/1991,387.86,389.56,387.86,389.2,163570000,0.35,0.46,-6.56,-0.27,0.91,-1
10/2/1991,389.2,390.03,387.62,388.26,166380000,-0.24,0.31,6.75,0.27,-0.05,-1
10/3/1991,388.23,388.23,384.47,384.47,174360000,-0.98,-0.41,7.78,0,-0.7,-1
10/4/1991,384.47,385.19,381.24,381.25,164000000,-0.84,-1.11,-8.27,-1.07,-0.04,-1
10/7/1991,381.22,381.27,379.07,379.5,148430000,-0.46,-0.02,18.87,0.14,-1.08,1
10/8/1991,379.5,381.23,379.18,380.67,177120000,0.31,-0.81,-4.14,0.41,0.13,-1
10/9/1991,380.57,380.57,376.35,376.8,186710000,-1.02,0.2,4.1,1.08,-0.59,1
10/10/1991,376.8,380.55,376.11,380.55,164240000,1,-0.67,-3.99,0.93,-0.51,1
10/11/1991,380.55,381.46,379.9,381.45,148850000,0.24,0.41,-1.12,-1.19,-0.61,1
10/14/1991,381.45,386.47,381.45,386.47,130120000,1.32,0.6,-5.06,-1.19,0.76,1
